"","Indicator.Code","Year","count","Indicator.Name"
"109","AG.LND.ARBL.ZS",2011,207,"Arable land (% of land area)"
"110","AG.LND.ARBL.ZS",2012,207,"Arable land (% of land area)"
"111","AG.LND.ARBL.ZS",2013,207,"Arable land (% of land area)"
"112","AG.LND.ARBL.ZS",2014,207,"Arable land (% of land area)"
"113","AG.LND.ARBL.ZS",2015,207,"Arable land (% of land area)"
"114","AG.LND.ARBL.ZS",2016,206,"Arable land (% of land area)"
"115","AG.LND.ARBL.ZS",2017,205,"Arable land (% of land area)"
"116","AG.LND.ARBL.ZS",2018,205,"Arable land (% of land area)"
"117","AG.LND.EL5M.RU.K2",1990,179,"Rural land area where elevation is below 5 meters (sq. km)"
"118","AG.LND.EL5M.RU.K2",2000,179,"Rural land area where elevation is below 5 meters (sq. km)"
"119","AG.LND.EL5M.RU.K2",2010,179,"Rural land area where elevation is below 5 meters (sq. km)"
"120","AG.LND.EL5M.RU.ZS",1990,179,"Rural land area where elevation is below 5 meters (% of total land area)"
"121","AG.LND.EL5M.RU.ZS",2000,179,"Rural land area where elevation is below 5 meters (% of total land area)"
"122","AG.LND.EL5M.RU.ZS",2010,179,"Rural land area where elevation is below 5 meters (% of total land area)"
"123","AG.LND.EL5M.UR.K2",1990,179,"Urban land area where elevation is below 5 meters (sq. km)"
"124","AG.LND.EL5M.UR.K2",2000,179,"Urban land area where elevation is below 5 meters (sq. km)"
"125","AG.LND.EL5M.UR.K2",2010,179,"Urban land area where elevation is below 5 meters (sq. km)"
"126","AG.LND.EL5M.UR.ZS",1990,179,"Urban land area where elevation is below 5 meters (% of total land area)"
"127","AG.LND.EL5M.UR.ZS",2000,179,"Urban land area where elevation is below 5 meters (% of total land area)"
"128","AG.LND.EL5M.UR.ZS",2010,179,"Urban land area where elevation is below 5 meters (% of total land area)"
"129","AG.LND.EL5M.ZS",1990,179,"Land area where elevation is below 5 meters (% of total land area)"
"130","AG.LND.EL5M.ZS",2000,179,"Land area where elevation is below 5 meters (% of total land area)"
"131","AG.LND.EL5M.ZS",2010,179,"Land area where elevation is below 5 meters (% of total land area)"
"132","AG.LND.FRST.K2",1990,210,"Forest area (sq. km)"
"133","AG.LND.FRST.K2",1991,210,"Forest area (sq. km)"
