country_name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bolivia,1004.758,1041.428,1100.1,1213.777,1481.468,1510.804,1690.487,1892.172,2178.198,2548.565,2486.226,3061.945,3571.658,3457.981,3516.653,4059.369,4580.083,4481.074,5027.457,4737.764,4668.091,4792.769,4349.062,4290.39,4041.034,4125.375,3777.01,4030.033,4308.725,4994.454,5680,5770,6820,7820,9040,8320,8120,8280,8610,7960,8000,7890,8230,9110,9420,10070,11160,12040,13020,13870,15040,16450,17250,18560,20170,20410,21610,22250,22710,,
Brazil,46908.264,49203.806,53695.881,55617.389,56735.824,56398.46,64304.512,66193.017,77421.371,84315.331,93761.523,102635.663,114362.729,132463.041,143456.707,151164.741,155154.437,162961.48,176925.416,188322.452,187090.34,171806.284,172176.651,166632.147,168806.678,181248.809,198883.412,207530.198,209363.698,214024.455,198260,205180,208660,215180,222720,241500,262900,281510,290760,300620,312670,319560,317280,309350,326760,330510,333980,351520,372160,350830,397730,417120,451760,482860,506780,479970,441910,449840,427710,,
Barbados,172.349,194.351,260.357,190.684,179.683,205.352,267.691,337.364,440.04,480.377,429.039,484.044,502.379,480.377,491.378,568.385,531.715,590.387,630.724,601.388,674.728,685.729,645.392,685.729,748.068,847.077,916.75,942.419,946.086,990.09,980,980,1180,990,1030,1070,1070,1170,1270,1300,1240,1320,1370,1380,1360,1420,1470,1480,1780,4620,1590,1670,2210,1480,1290,1290,1310,1200,1250,,
Brunei Darussalam,333.697,304.361,370.367,355.699,341.031,333.697,491.378,440.04,429.039,487.711,8210.413,7517.35,9460.86,9981.574,8184.744,7080.977,6024.881,6395.248,9541.534,7440.343,6882.959,1470.467,2093.857,2706.246,1917.841,2596.236,2299.209,3318.635,5716.853,6347.577,3920,3380,3590,3870,4140,4500,4710,5090,4310,4190,4430,4310,4360,5250,4920,4820,7220,6840,7220,7430,6860,7010,7130,7020,6970,5980,6410,6710,7140,,
Bhutan,,,,,,,,,,,3.667,3.667,3.667,3.667,3.667,3.667,3.667,7.334,11.001,22.002,22.002,25.669,33.003,29.336,51.338,62.339,55.005,102.676,110.01,62.339,130,170,200,170,190,230,280,370,360,360,370,360,400,360,310,410,400,390,400,370,470,670,760,850,940,960,1230,1330,1380,,
Botswana,,,,,,,,,,,,,22.002,51.338,88.008,187.017,594.054,781.071,832.409,942.419,986.423,1008.425,1100.1,1030.427,1045.095,1158.772,1067.097,1239.446,1301.785,1430.13,2810,2740,3300,3250,3080,3190,2920,3070,3680,3860,4030,3870,4030,3920,3970,4280,4090,4320,4390,4090,3370,4000,5130,5560,7130,7210,7120,7870,8210,,
Central African Republic,88.008,88.008,73.34,73.34,73.34,88.008,84.341,91.675,183.35,187.017,209.019,183.35,168.682,161.348,113.677,102.676,128.345,128.345,146.68,102.676,106.343,135.679,143.013,146.68,150.347,161.348,161.348,260.357,231.021,249.356,160,150,150,160,160,160,170,170,230,240,240,250,250,240,240,240,260,260,260,260,270,290,300,300,300,310,310,310,330,,
Canada,192895.201,194182.318,207185.5,211109.19,237801.283,252153.921,259319.239,281896.958,303539.592,307400.943,341485.708,352607.719,381136.979,381621.023,389970.782,397143.434,399317.965,408151.768,415896.472,442067.851,443233.957,430003.421,414811.04,408687.15,425595.687,422079.034,405053.153,431349.21,456053.789,463274.112,419120,412930,426000,422680,438820,449500,463160,478530,486760,495140,515000,506940,525470,545360,537250,549970,541070,571310,550200,520800,535030,547720,547140,556350,561830,558800,550480,562260,574400,,
Central Europe and the Baltics,477930.9836,503661.0234,539156.5718,583019.4353,626292.4358,645746.9893,666310.2667,693187.2623,740157.8295,795495.7118,827812.5544,852925.4228,890638.419,927881.7094,957970.181,1022139.622,1082704.345,1126889.449,1184919.946,1197410.84,1229574.755,1154563.852,1184067.922,1195116.929,1193598.578,1215199.577,1237084.584,1271351.252,1227739.626,1192664.628,988720,912230,848250,825880,803900,809240,832780,807530,759130,717720,708640,719870,705970,737230,736270,734590,750980,757920,740540,683460,708620,708790,682080,656190,635680,645360,656330,680750,676470,,
Switzerland,19523.108,20388.52,24154.529,29104.979,28166.227,30370.094,31528.866,32562.96,36028.275,38096.463,40296.663,41943.146,42973.573,46262.872,41481.104,39097.554,40483.68,41085.068,42218.171,39911.628,40538.685,38859.199,36629.663,40069.309,39174.561,39827.287,42295.178,40252.659,40711.034,39467.921,43330,45670,45700,43450,42590,43440,44010,42750,44250,44530,43710,45160,43570,44840,45280,45850,45480,43540,44960,43670,45210,41190,42470,43480,39730,39030,39610,38620,37480,,
