"","Time","Country","Series","SCALE","Data"
"219","YR1979","ABW","EN.GHG.N2O.TR.MT.CE.AR5",0,0.0001
"220","YR1979","ABW","EN.GHG.N2O.WA.MT.CE.AR5",0,0.0005
"221","YR1980","ABW","EN.GHG.CH4.AG.MT.CE.AR5",0,0
"222","YR1980","ABW","EN.GHG.CH4.BU.MT.CE.AR5",0,0.0001
"223","YR1980","ABW","EN.GHG.CH4.FE.MT.CE.AR5",0,0.0001
"224","YR1980","ABW","EN.GHG.CH4.IC.MT.CE.AR5",0,0
"225","YR1980","ABW","EN.GHG.CH4.PI.MT.CE.AR5",0,0
"226","YR1980","ABW","EN.GHG.CH4.TR.MT.CE.AR5",0,0.0001
"227","YR1980","ABW","EN.GHG.CH4.WA.MT.CE.AR5",0,0.0122
"228","YR1980","ABW","EN.GHG.CO2.BU.MT.CE.AR5",0,0.0156
"229","YR1980","ABW","EN.GHG.CO2.FE.MT.CE.AR5",0,0
"230","YR1980","ABW","EN.GHG.CO2.IC.MT.CE.AR5",0,0.0008
"231","YR1980","ABW","EN.GHG.CO2.IP.MT.CE.AR5",0,0.0008
"232","YR1980","ABW","EN.GHG.CO2.PI.MT.CE.AR5",0,0.0541
"233","YR1980","ABW","EN.GHG.CO2.TR.MT.CE.AR5",0,0.0087
"234","YR1980","ABW","EN.GHG.ALL.MT.CE.AR5",0,0.0939
"235","YR1980","ABW","EN.GHG.N2O.AG.MT.CE.AR5",0,0
"236","YR1980","ABW","EN.GHG.N2O.BU.MT.CE.AR5",0,0.0001
"237","YR1980","ABW","EN.GHG.N2O.FE.MT.CE.AR5",0,0
"238","YR1980","ABW","EN.GHG.N2O.IC.MT.CE.AR5",0,0
"239","YR1980","ABW","EN.GHG.N2O.IP.MT.CE.AR5",0,0.0005
"240","YR1980","ABW","EN.GHG.N2O.PI.MT.CE.AR5",0,0.0001
"241","YR1980","ABW","EN.GHG.N2O.TR.MT.CE.AR5",0,0.0001
"242","YR1980","ABW","EN.GHG.N2O.WA.MT.CE.AR5",0,0.0006
"243","YR1981","ABW","EN.GHG.CH4.AG.MT.CE.AR5",0,0
"244","YR1981","ABW","EN.GHG.CH4.BU.MT.CE.AR5",0,0.0001
"245","YR1981","ABW","EN.GHG.CH4.FE.MT.CE.AR5",0,0.0001
"246","YR1981","ABW","EN.GHG.CH4.IC.MT.CE.AR5",0,0
"247","YR1981","ABW","EN.GHG.CH4.PI.MT.CE.AR5",0,0
"248","YR1981","ABW","EN.GHG.CH4.TR.MT.CE.AR5",0,0.0001
"249","YR1981","ABW","EN.GHG.CH4.WA.MT.CE.AR5",0,0.0123
"250","YR1981","ABW","EN.GHG.CO2.BU.MT.CE.AR5",0,0.0171
"251","YR1981","ABW","EN.GHG.CO2.FE.MT.CE.AR5",0,0
"252","YR1981","ABW","EN.GHG.CO2.IC.MT.CE.AR5",0,0.001
"253","YR1981","ABW","EN.GHG.CO2.IP.MT.CE.AR5",0,0.0008
"254","YR1981","ABW","EN.GHG.CO2.PI.MT.CE.AR5",0,0.0546
"255","YR1981","ABW","EN.GHG.CO2.TR.MT.CE.AR5",0,0.0096
"256","YR1981","ABW","EN.GHG.ALL.MT.CE.AR5",0,0.0971
"257","YR1981","ABW","EN.GHG.N2O.AG.MT.CE.AR5",0,0
"258","YR1981","ABW","EN.GHG.N2O.BU.MT.CE.AR5",0,0
"259","YR1981","ABW","EN.GHG.N2O.FE.MT.CE.AR5",0,0
"260","YR1981","ABW","EN.GHG.N2O.IC.MT.CE.AR5",0,0
"261","YR1981","ABW","EN.GHG.N2O.IP.MT.CE.AR5",0,0.0005
"262","YR1981","ABW","EN.GHG.N2O.PI.MT.CE.AR5",0,0.0001
"263","YR1981","ABW","EN.GHG.N2O.TR.MT.CE.AR5",0,0.0001
"264","YR1981","ABW","EN.GHG.N2O.WA.MT.CE.AR5",0,0.0006
"265","YR1982","ABW","EN.GHG.CH4.AG.MT.CE.AR5",0,0
"266","YR1982","ABW","EN.GHG.CH4.BU.MT.CE.AR5",0,0.0001
"267","YR1982","ABW","EN.GHG.CH4.FE.MT.CE.AR5",0,0.0001
"268","YR1982","ABW","EN.GHG.CH4.IC.MT.CE.AR5",0,0
"269","YR1982","ABW","EN.GHG.CH4.PI.MT.CE.AR5",0,0
"270","YR1982","ABW","EN.GHG.CH4.TR.MT.CE.AR5",0,0.0001
"271","YR1982","ABW","EN.GHG.CH4.WA.MT.CE.AR5",0,0.0124
"272","YR1982","ABW","EN.GHG.CO2.BU.MT.CE.AR5",0,0.016
"273","YR1982","ABW","EN.GHG.CO2.FE.MT.CE.AR5",0,0
"274","YR1982","ABW","EN.GHG.CO2.IC.MT.CE.AR5",0,0.0008
"275","YR1982","ABW","EN.GHG.CO2.IP.MT.CE.AR5",0,0.0009
"276","YR1982","ABW","EN.GHG.CO2.PI.MT.CE.AR5",0,0.0536
"277","YR1982","ABW","EN.GHG.CO2.TR.MT.CE.AR5",0,0.0106
"278","YR1982","ABW","EN.GHG.ALL.MT.CE.AR5",0,0.0962
"279","YR1982","ABW","EN.GHG.N2O.AG.MT.CE.AR5",0,0
"280","YR1982","ABW","EN.GHG.N2O.BU.MT.CE.AR5",0,0
"281","YR1982","ABW","EN.GHG.N2O.FE.MT.CE.AR5",0,0
"282","YR1982","ABW","EN.GHG.N2O.IC.MT.CE.AR5",0,0
"283","YR1982","ABW","EN.GHG.N2O.IP.MT.CE.AR5",0,0.0005
"284","YR1982","ABW","EN.GHG.N2O.PI.MT.CE.AR5",0,0.0001
